pcode,name,storm_id,pcpout_mm,rain_geotiff_mm,diff_mm,diff_pct
BB01,Christ Church,sample_0001,804.16,804.59,0.42,0.05
BB01,Christ Church,sample_0002,0.0,0.45,0.45,
BB01,Christ Church,sample_0003,0.0,0.09,0.09,
BB01,Christ Church,sample_0004,0.0,0.63,0.63,
BB01,Christ Church,sample_0005,0.0,1.23,1.23,
BB01,Christ Church,sample_0006,0.01,2.62,2.6,18968.5
BB01,Christ Church,sample_0007,0.0,2.63,2.63,
BB01,Christ Church,sample_0008,8.27,10.04,1.78,21.48
BB01,Christ Church,sample_0009,4.81,7.35,2.54,52.71
BB01,Christ Church,sample_0010,11.4,12.46,1.07,9.36
BB01,Christ Church,sample_0011,0.0,0.0,0.0,
BB01,Christ Church,sample_0012,11.39,15.57,4.18,36.68
BB01,Christ Church,sample_0013,15.87,18.3,2.43,15.31
BB01,Christ Church,sample_0014,21.68,23.78,2.09,9.66
BB01,Christ Church,sample_0015,46.56,48.99,2.42,5.2
BB01,Christ Church,sample_0016,4.85,7.47,2.62,54.04
BB01,Christ Church,sample_0017,18.29,23.99,5.7,31.18
BB01,Christ Church,sample_0018,0.0,0.0,0.0,
BB01,Christ Church,sample_0019,41.87,46.69,4.82,11.52
BB01,Christ Church,sample_0020,48.46,52.57,4.12,8.5
BB01,Christ Church,sample_0021,6.84,11.02,4.18,61.06
BB01,Christ Church,sample_0022,21.75,26.95,5.2,23.92
BB01,Christ Church,sample_0023,21.37,25.03,3.66,17.1
BB01,Christ Church,sample_0024,50.58,53.34,2.76,5.47
BB01,Christ Church,sample_0025,43.16,47.03,3.87,8.97
BB01,Christ Church,sample_0026,44.46,49.85,5.4,12.14
BB01,Christ Church,sample_0027,63.37,65.46,2.09,3.3
BB01,Christ Church,sample_0028,30.17,35.52,5.35,17.73
BB01,Christ Church,sample_0029,0.76,1.74,0.98,129.82
BB01,Christ Church,sample_0030,54.87,60.92,6.05,11.03
BB01,Christ Church,sample_0031,76.42,80.8,4.37,5.72
BB01,Christ Church,sample_0032,82.8,89.5,6.69,8.08
BB01,Christ Church,sample_0033,112.74,115.84,3.1,2.75
BB01,Christ Church,sample_0034,108.68,110.66,1.98,1.82
BB01,Christ Church,sample_0035,108.4,112.16,3.75,3.46
BB01,Christ Church,sample_0036,55.22,59.62,4.41,7.98
BB01,Christ Church,sample_0037,71.07,75.96,4.89,6.87
BB01,Christ Church,sample_0038,130.44,137.23,6.79,5.2
BB01,Christ Church,sample_0039,113.37,119.4,6.03,5.32
BB01,Christ Church,sample_0040,211.95,218.7,6.76,3.19
BB01,Christ Church,sample_0041,101.51,101.81,0.3,0.3
BB01,Christ Church,sample_0042,82.5,92.81,10.32,12.51
BB01,Christ Church,sample_0043,140.88,145.5,4.63,3.28
BB01,Christ Church,sample_0044,173.14,176.03,2.89,1.67
BB01,Christ Church,sample_0045,150.19,156.03,5.85,3.89
BB01,Christ Church,sample_0046,89.0,94.76,5.76,6.48
BB01,Christ Church,sample_0047,10.74,12.56,1.82,16.97
BB01,Christ Church,sample_0048,160.61,160.74,0.13,0.08
BB01,Christ Church,sample_0049,110.79,112.99,2.2,1.98
BB01,Christ Church,sample_0050,176.02,182.38,6.36,3.62
BB01,Christ Church,sample_0051,144.77,152.14,7.37,5.09
BB01,Christ Church,sample_0052,101.31,103.93,2.62,2.58
BB01,Christ Church,sample_0053,15.32,18.17,2.85,18.62
BB01,Christ Church,sample_0054,152.71,161.48,8.77,5.74
BB01,Christ Church,sample_0055,76.32,83.0,6.68,8.76
BB01,Christ Church,sample_0056,62.17,66.29,4.12,6.63
BB01,Christ Church,sample_0057,182.02,185.31,3.3,1.81
BB01,Christ Church,sample_0058,14.94,18.04,3.1,20.76
BB01,Christ Church,sample_0059,152.16,155.02,2.85,1.88
BB01,Christ Church,sample_0060,171.53,172.99,1.46,0.85
BB01,Christ Church,sample_0061,130.11,134.34,4.23,3.25
BB01,Christ Church,sample_0062,179.27,181.27,2.0,1.12
BB01,Christ Church,sample_0063,192.23,206.05,13.82,7.19
BB01,Christ Church,sample_0064,211.38,213.03,1.65,0.78
BB01,Christ Church,sample_0065,28.21,31.63,3.43,12.15
BB01,Christ Church,sample_0066,138.41,149.09,10.68,7.72
BB01,Christ Church,sample_0067,177.07,187.47,10.4,5.87
BB01,Christ Church,sample_0068,98.73,108.35,9.63,9.75
BB01,Christ Church,sample_0069,183.38,195.25,11.87,6.47
BB01,Christ Church,sample_0070,231.34,234.06,2.72,1.17
BB01,Christ Church,sample_0071,198.44,198.87,0.43,0.21
BB01,Christ Church,sample_0072,171.28,178.91,7.63,4.45
BB01,Christ Church,sample_0073,112.7,117.13,4.43,3.93
BB01,Christ Church,sample_0074,195.43,203.21,7.78,3.98
BB01,Christ Church,sample_0075,182.27,180.75,-1.52,-0.84
BB01,Christ Church,sample_0076,242.0,244.3,2.3,0.95
BB01,Christ Church,sample_0077,205.08,207.74,2.66,1.3
BB01,Christ Church,sample_0078,199.76,206.16,6.4,3.2
BB01,Christ Church,sample_0079,173.35,175.78,2.43,1.4
BB01,Christ Church,sample_0080,274.75,284.06,9.31,3.39
BB01,Christ Church,sample_0081,216.15,222.94,6.78,3.14
BB01,Christ Church,sample_0082,207.0,206.54,-0.47,-0.23
BB01,Christ Church,sample_0083,325.82,331.5,5.68,1.74
BB01,Christ Church,sample_0084,160.24,164.9,4.67,2.91
