pcode,name,island,island_model,store,n_scenarios,grid_wxh,magnitude_min_mm,magnitude_max_mm,zip_mb,wet_cells_pct,area_km2,depth_coverage_pct,rain_coverage_pct
KM111,Bambao Mtsanga,Anjouan (Ndzouani),anjouan,fim_store_KM111_BambaoMtsanga_v1.zarr,200,214x258,0.0,870.4,6.32,13.42,25.05,100.0,99.62
KM112,Domoni,Anjouan (Ndzouani),anjouan,fim_store_KM112_Domoni_v1.zarr,200,207x193,0.0,797.2,5.01,14.49,13.99,100.0,100.16
KM113,Jimlimé,Anjouan (Ndzouani),anjouan,fim_store_KM113_Jimlime_v1.zarr,200,260x355,0.0,874.6,10.33,11.01,43.88,100.0,99.87
KM114,Koni,Anjouan (Ndzouani),anjouan,fim_store_KM114_Koni_v1.zarr,200,271x139,0.0,795.4,5.25,15.89,16.72,100.0,100.22
KM115,Ngandzalé,Anjouan (Ndzouani),anjouan,fim_store_KM115_Ngandzale_v1.zarr,200,267x238,0.0,785.8,9.03,16.19,26.9,100.0,99.91
KM121,Adda,Anjouan (Ndzouani),anjouan,fim_store_KM121_Adda_v1.zarr,200,293x248,0.0,752.4,9.35,12.87,24.49,100.0,100.34
KM122,Chaweni,Anjouan (Ndzouani),anjouan,fim_store_KM122_Chaweni_v1.zarr,200,144x169,0.0,786.3,2.75,8.69,9.23,100.0,99.89
KM123,Mramani,Anjouan (Ndzouani),anjouan,fim_store_KM123_Mramani_v1.zarr,200,136x164,0.0,778.7,2.5,9.33,8.9,100.0,99.83
KM124,Mrémani,Anjouan (Ndzouani),anjouan,fim_store_KM124_Mremani_v1.zarr,200,140x172,0.0,748.1,3.29,12.31,10.32,100.0,99.61
KM125,Ongojou,Anjouan (Ndzouani),anjouan,fim_store_KM125_Ongojou_v1.zarr,200,146x175,0.0,748.9,3.25,12.61,12.71,100.0,100.17
KM131,Bandrani Ya Chironkamba,Anjouan (Ndzouani),anjouan,fim_store_KM131_BandraniYaChironkamba_v1.zarr,200,284x145,0.0,749.5,5.53,11.91,16.41,100.0,100.13
KM132,Bandrani Ya Mtsangani,Anjouan (Ndzouani),anjouan,fim_store_KM132_BandraniYaMtsangani_v1.zarr,200,190x119,0.0,754.6,2.53,9.09,8.88,100.0,99.99
KM133,Mirontsi,Anjouan (Ndzouani),anjouan,fim_store_KM133_Mirontsi_v1.zarr,200,166x145,0.0,781.9,3.32,16.34,6.83,100.0,99.88
KM134,Mutsamudu,Anjouan (Ndzouani),anjouan,fim_store_KM134_Mutsamudu_v1.zarr,200,288x217,0.0,768.7,8.26,14.46,29.13,100.0,99.72
KM141,Bambao Mtrouni,Anjouan (Ndzouani),anjouan,fim_store_KM141_BambaoMtrouni_v1.zarr,200,237x238,0.0,798.2,7.72,15.09,20.48,100.0,99.88
KM142,Bazimini,Anjouan (Ndzouani),anjouan,fim_store_KM142_Bazimini_v1.zarr,200,179x197,0.0,764.5,5.06,16.56,10.64,100.0,100.26
KM143,Ouani,Anjouan (Ndzouani),anjouan,fim_store_KM143_Ouani_v1.zarr,200,190x334,0.0,860.4,8.11,13.67,24.23,100.0,99.92
KM151,Moya,Anjouan (Ndzouani),anjouan,fim_store_KM151_Moya_v1.zarr,200,253x341,0.0,747.9,9.65,11.7,37.75,100.0,100.04
KM152,Sima,Anjouan (Ndzouani),anjouan,fim_store_KM152_Sima_v1.zarr,200,437x249,0.0,748.6,6.47,4.72,30.08,100.0,99.87
KM153,Vouani,Anjouan (Ndzouani),anjouan,fim_store_KM153_Vouani_v1.zarr,200,551x261,0.0,712.0,15.2,9.98,50.19,100.0,100.12
KM211,Mboinkou,Grande Comore (Ngazidja),grande,fim_store_KM211_Mboinkou_v1.zarr,200,241x219,0.0,896.3,5.76,18.09,27.87,100.0,99.96
KM212,Nyuma Mro,Grande Comore (Ngazidja),grande,fim_store_KM212_NyumaMro_v1.zarr,200,258x180,0.0,888.6,5.43,19.15,26.19,100.0,100.17
KM213,Nyuma Msiru,Grande Comore (Ngazidja),grande,fim_store_KM213_NyumaMsiru_v1.zarr,200,248x308,0.0,880.2,9.53,21.54,47.76,100.0,100.04
KM221,Djoumoipangua,Grande Comore (Ngazidja),grande,fim_store_KM221_Djoumoipangua_v1.zarr,200,248x335,0.0,919.4,9.34,37.83,40.12,100.0,99.99
KM222,Tsinimoipangua,Grande Comore (Ngazidja),grande,fim_store_KM222_Tsinimoipangua_v1.zarr,200,355x320,0.0,953.5,12.65,36.03,33.42,100.0,100.0
KM231,Bangaani,Grande Comore (Ngazidja),grande,fim_store_KM231_Bangaani_v1.zarr,200,337x197,0.0,974.7,9.36,34.06,40.24,100.0,100.05
KM232,Djoumoichongo,Grande Comore (Ngazidja),grande,fim_store_KM232_Djoumoichongo_v1.zarr,200,222x143,0.0,942.0,4.85,29.42,19.08,100.0,99.82
KM233,Hamanvou,Grande Comore (Ngazidja),grande,fim_store_KM233_Hamanvou_v1.zarr,200,337x362,0.0,930.5,16.82,26.47,72.66,100.0,99.97
KM234,Isahari,Grande Comore (Ngazidja),grande,fim_store_KM234_Isahari_v1.zarr,200,108x143,0.0,1015.0,2.11,25.16,5.34,100.0,100.44
KM235,Mbadani,Grande Comore (Ngazidja),grande,fim_store_KM235_Mbadani_v1.zarr,200,284x229,0.0,991.9,9.4,25.47,31.12,100.0,99.76
KM241,Domba,Grande Comore (Ngazidja),grande,fim_store_KM241_Domba_v1.zarr,200,363x314,0.0,802.7,12.93,27.17,53.14,100.0,99.95
KM242,Itsahidi,Grande Comore (Ngazidja),grande,fim_store_KM242_Itsahidi_v1.zarr,200,310x515,0.0,753.1,13.96,16.3,48.12,100.0,99.91
KM243,Pimba,Grande Comore (Ngazidja),grande,fim_store_KM243_Pimba_v1.zarr,200,295x390,0.0,772.0,13.64,23.94,36.79,100.0,100.09
KM251,Ngouengoe,Grande Comore (Ngazidja),grande,fim_store_KM251_Ngouengoe_v1.zarr,200,229x457,0.0,922.1,11.11,25.73,35.73,100.0,100.03
KM252,Nioumagama,Grande Comore (Ngazidja),grande,fim_store_KM252_Nioumagama_v1.zarr,200,292x587,0.0,831.3,18.59,23.37,47.27,100.0,99.98
KM261,Cembenoi Lac Salé,Grande Comore (Ngazidja),grande,fim_store_KM261_CembenoiLacSale_v1.zarr,200,260x180,0.0,959.8,5.44,20.17,20.5,100.0,100.18
KM262,Cembenoi Sada Djoulamlima,Grande Comore (Ngazidja),grande,fim_store_KM262_CembenoiSadaDjoulamlima_v1.zarr,200,179x318,0.0,960.6,7.77,18.57,22.31,100.0,99.97
KM263,Mitsamiouli,Grande Comore (Ngazidja),grande,fim_store_KM263_Mitsamiouli_v1.zarr,200,220x206,0.0,870.4,3.91,15.94,10.74,100.0,99.21
KM264,Nyuma Komo,Grande Comore (Ngazidja),grande,fim_store_KM264_NyumaKomo_v1.zarr,200,213x139,0.0,890.7,3.72,23.83,12.95,100.0,99.97
KM265,Nyumamro Kiblani,Grande Comore (Ngazidja),grande,fim_store_KM265_NyumamroKiblani_v1.zarr,200,351x192,0.0,989.3,8.62,19.58,42.3,100.0,100.12
KM266,Nyumamro Souheili,Grande Comore (Ngazidja),grande,fim_store_KM266_NyumamroSouheili_v1.zarr,200,305x258,0.0,1002.6,9.68,22.78,45.43,100.0,100.17
KM271,Bambao Ya Hari,Grande Comore (Ngazidja),grande,fim_store_KM271_BambaoYaHari_v1.zarr,200,426x294,0.0,961.2,14.23,30.84,48.22,100.0,100.04
KM272,Bambao Ya Mboini,Grande Comore (Ngazidja),grande,fim_store_KM272_BambaoYaMboini_v1.zarr,200,130x281,0.0,972.7,4.4,19.75,12.65,100.0,99.53
KM273,Bambao Yadjou,Grande Comore (Ngazidja),grande,fim_store_KM273_BambaoYadjou_v1.zarr,200,408x198,0.0,960.6,10.27,31.54,44.65,100.0,100.03
KM274,Moroni,Grande Comore (Ngazidja),grande,fim_store_KM274_Moroni_v1.zarr,200,169x198,0.0,1029.7,3.71,23.18,10.53,100.0,100.13
KM281,Dimani,Grande Comore (Ngazidja),grande,fim_store_KM281_Dimani_v1.zarr,200,405x344,0.0,880.6,12.02,31.75,66.71,100.0,100.01
KM282,Oichili Yadjou,Grande Comore (Ngazidja),grande,fim_store_KM282_OichiliYadjou_v1.zarr,200,377x374,0.0,927.4,15.91,32.68,67.03,100.0,100.14
KM283,Oichili Yamboini,Grande Comore (Ngazidja),grande,fim_store_KM283_OichiliYamboini_v1.zarr,200,332x295,0.0,909.6,13.21,24.01,42.29,100.0,99.83
KM291,Cratère du Karthala,Grande Comore (Ngazidja),grande,fim_store_KM291_CratereDuKarthala_v1.zarr,200,107x134,0.0,974.8,1.82,10.34,5.46,100.0,100.59
KM311,Djando,Mohéli (Mwali),moheli,fim_store_KM311_Djando_v1.zarr,200,469x268,0.0,732.5,12.04,8.14,57.56,100.0,100.04
KM321,Fomboni,Mohéli (Mwali),moheli,fim_store_KM321_Fomboni_v1.zarr,200,244x225,0.0,895.6,7.37,13.39,24.43,100.0,99.91
KM322,Moili Mdjini,Mohéli (Mwali),moheli,fim_store_KM322_MoiliMdjini_v1.zarr,200,296x217,0.0,816.7,7.71,12.07,24.1,100.0,99.94
KM323,Moimbassa,Mohéli (Mwali),moheli,fim_store_KM323_Moimbassa_v1.zarr,200,322x220,0.0,933.0,8.39,10.78,27.42,100.0,100.16
KM331,Mlédjélé,Mohéli (Mwali),moheli,fim_store_KM331_Mledjele_v1.zarr,200,520x285,0.0,912.3,12.43,7.55,37.17,86.85,100.03
KM332,Moimbao,Mohéli (Mwali),moheli,fim_store_KM332_Moimbao_v1.zarr,200,341x358,0.0,937.0,13.74,10.11,39.01,100.0,99.89
