storm_id,scenario_name,magnitude_mm,in_store
sample_0001,Griss_Haiti_WRF_Box_rlz1year10000storm5,,yes
sample_0002,Griss_Haiti_WRF_Box_rlz1year2612storm5,,yes
sample_0003,Griss_Haiti_WRF_Box_rlz1year2857storm5,,yes
sample_0004,Griss_Haiti_WRF_Box_rlz1year3176storm5,,yes
sample_0005,Griss_Haiti_WRF_Box_rlz1year4002storm3,,yes
sample_0006,Griss_Haiti_WRF_Box_rlz1year4115storm5,,yes
sample_0007,Griss_Haiti_WRF_Box_rlz1year4131storm4,,yes
sample_0008,Griss_Haiti_WRF_Box_rlz1year4515storm5,,yes
sample_0009,Griss_Haiti_WRF_Box_rlz1year4670storm4,,yes
sample_0010,Griss_Haiti_WRF_Box_rlz1year4916storm4,,yes
sample_0011,Griss_Haiti_WRF_Box_rlz1year5115storm4,,yes
sample_0012,Griss_Haiti_WRF_Box_rlz1year5544storm5,,yes
sample_0013,Griss_Haiti_WRF_Box_rlz1year6105storm5,,yes
sample_0014,Griss_Haiti_WRF_Box_rlz1year6148storm5,,yes
sample_0015,Griss_Haiti_WRF_Box_rlz1year6178storm5,,yes
sample_0016,Griss_Haiti_WRF_Box_rlz1year6343storm5,,yes
sample_0017,Griss_Haiti_WRF_Box_rlz1year6380storm5,,yes
sample_0018,Griss_Haiti_WRF_Box_rlz1year6412storm5,,yes
sample_0019,Griss_Haiti_WRF_Box_rlz1year6427storm5,,yes
sample_0020,Griss_Haiti_WRF_Box_rlz1year6445storm5,,yes
sample_0021,Griss_Haiti_WRF_Box_rlz1year6496storm5,,yes
sample_0022,Griss_Haiti_WRF_Box_rlz1year6524storm5,,yes
sample_0023,Griss_Haiti_WRF_Box_rlz1year6719storm5,,yes
sample_0024,Griss_Haiti_WRF_Box_rlz1year6853storm4,,yes
sample_0025,Griss_Haiti_WRF_Box_rlz1year6876storm3,,yes
sample_0026,Griss_Haiti_WRF_Box_rlz1year6900storm5,,yes
sample_0027,Griss_Haiti_WRF_Box_rlz1year6956storm2,,yes
sample_0028,Griss_Haiti_WRF_Box_rlz1year6969storm4,,yes
sample_0029,Griss_Haiti_WRF_Box_rlz1year7341storm5,,yes
sample_0030,Griss_Haiti_WRF_Box_rlz1year7409storm5,,yes
sample_0031,Griss_Haiti_WRF_Box_rlz1year7473storm5,,yes
sample_0032,Griss_Haiti_WRF_Box_rlz1year7500storm2,,yes
sample_0033,Griss_Haiti_WRF_Box_rlz1year7807storm5,,yes
sample_0034,Griss_Haiti_WRF_Box_rlz1year8075storm5,,yes
sample_0035,Griss_Haiti_WRF_Box_rlz1year8080storm5,,yes
sample_0036,Griss_Haiti_WRF_Box_rlz1year8122storm5,,yes
sample_0037,Griss_Haiti_WRF_Box_rlz1year8151storm4,,yes
sample_0038,Griss_Haiti_WRF_Box_rlz1year8164storm5,,yes
sample_0039,Griss_Haiti_WRF_Box_rlz1year8194storm5,,yes
sample_0040,Griss_Haiti_WRF_Box_rlz1year8249storm5,,yes
sample_0041,Griss_Haiti_WRF_Box_rlz1year8372storm5,,no (sample missing from delivery)
sample_0042,Griss_Haiti_WRF_Box_rlz1year8373storm5,,no (sample missing from delivery)
sample_0043,Griss_Haiti_WRF_Box_rlz1year8404storm5,,no (sample missing from delivery)
sample_0044,Griss_Haiti_WRF_Box_rlz1year8473storm3,,no (sample missing from delivery)
sample_0045,Griss_Haiti_WRF_Box_rlz1year8514storm5,,no (sample missing from delivery)
sample_0046,Griss_Haiti_WRF_Box_rlz1year8546storm5,,no (sample missing from delivery)
