storm_id,scenario_name,magnitude_mm,in_store
sample_0001,LaQuinta_Haiti_WRF_Box_rlz1year10000storm5,,yes
sample_0002,LaQuinta_Haiti_WRF_Box_rlz1year2614storm4,,yes
sample_0003,LaQuinta_Haiti_WRF_Box_rlz1year2868storm5,,yes
sample_0004,LaQuinta_Haiti_WRF_Box_rlz1year3196storm3,,yes
sample_0005,LaQuinta_Haiti_WRF_Box_rlz1year4051storm5,,yes
sample_0006,LaQuinta_Haiti_WRF_Box_rlz1year4110storm3,,yes
sample_0007,LaQuinta_Haiti_WRF_Box_rlz1year4121storm4,,yes
sample_0008,LaQuinta_Haiti_WRF_Box_rlz1year4500storm4,,yes
sample_0009,LaQuinta_Haiti_WRF_Box_rlz1year4724storm5,,yes
sample_0010,LaQuinta_Haiti_WRF_Box_rlz1year4966storm5,,yes
sample_0011,LaQuinta_Haiti_WRF_Box_rlz1year5104storm5,,no (sample missing from delivery)
sample_0012,LaQuinta_Haiti_WRF_Box_rlz1year5545storm5,,yes
sample_0013,LaQuinta_Haiti_WRF_Box_rlz1year6184storm5,,yes
sample_0014,LaQuinta_Haiti_WRF_Box_rlz1year6226storm5,,yes
sample_0015,LaQuinta_Haiti_WRF_Box_rlz1year6273storm5,,yes
sample_0016,LaQuinta_Haiti_WRF_Box_rlz1year6430storm3,,yes
sample_0017,LaQuinta_Haiti_WRF_Box_rlz1year6467storm5,,yes
sample_0018,LaQuinta_Haiti_WRF_Box_rlz1year6491storm3,,yes
sample_0019,LaQuinta_Haiti_WRF_Box_rlz1year6564storm4,,yes
sample_0020,LaQuinta_Haiti_WRF_Box_rlz1year6829storm5,,yes
sample_0021,LaQuinta_Haiti_WRF_Box_rlz1year6957storm3,,yes
sample_0022,LaQuinta_Haiti_WRF_Box_rlz1year6983storm5,,yes
sample_0023,LaQuinta_Haiti_WRF_Box_rlz1year7007storm4,,yes
sample_0024,LaQuinta_Haiti_WRF_Box_rlz1year7058storm5,,yes
sample_0025,LaQuinta_Haiti_WRF_Box_rlz1year7078storm4,,yes
sample_0026,LaQuinta_Haiti_WRF_Box_rlz1year7098storm5,,yes
sample_0027,LaQuinta_Haiti_WRF_Box_rlz1year7441storm5,,yes
sample_0028,LaQuinta_Haiti_WRF_Box_rlz1year7533storm5,,yes
sample_0029,LaQuinta_Haiti_WRF_Box_rlz1year7710storm5,,yes
sample_0030,LaQuinta_Haiti_WRF_Box_rlz1year7864storm5,,yes
sample_0031,LaQuinta_Haiti_WRF_Box_rlz1year7989storm5,,yes
sample_0032,LaQuinta_Haiti_WRF_Box_rlz1year8103storm5,,yes
sample_0033,LaQuinta_Haiti_WRF_Box_rlz1year8112storm5,,yes
sample_0034,LaQuinta_Haiti_WRF_Box_rlz1year8149storm5,,yes
sample_0035,LaQuinta_Haiti_WRF_Box_rlz1year8151storm3,,yes
sample_0036,LaQuinta_Haiti_WRF_Box_rlz1year8159storm5,,yes
sample_0037,LaQuinta_Haiti_WRF_Box_rlz1year8366storm4,,yes
sample_0038,LaQuinta_Haiti_WRF_Box_rlz1year8370storm5,,yes
sample_0039,LaQuinta_Haiti_WRF_Box_rlz1year8399storm5,,yes
sample_0040,LaQuinta_Haiti_WRF_Box_rlz1year8429storm5,,yes
sample_0041,LaQuinta_Haiti_WRF_Box_rlz1year8443storm4,,yes
sample_0042,LaQuinta_Haiti_WRF_Box_rlz1year8491storm5,,yes
sample_0043,LaQuinta_Haiti_WRF_Box_rlz1year8529storm4,,yes
sample_0044,LaQuinta_Haiti_WRF_Box_rlz1year8572storm5,,yes
sample_0045,LaQuinta_Haiti_WRF_Box_rlz1year8584storm5,,yes
sample_0046,LaQuinta_Haiti_WRF_Box_rlz1year8696storm5,,yes
sample_0047,LaQuinta_Haiti_WRF_Box_rlz1year8725storm5,,yes
sample_0048,LaQuinta_Haiti_WRF_Box_rlz1year8729storm5,,yes
sample_0049,LaQuinta_Haiti_WRF_Box_rlz1year8780storm5,,yes
sample_0050,LaQuinta_Haiti_WRF_Box_rlz1year8814storm5,,yes
sample_0051,LaQuinta_Haiti_WRF_Box_rlz1year8826storm5,,yes
sample_0052,LaQuinta_Haiti_WRF_Box_rlz1year8852storm5,,yes
sample_0053,LaQuinta_Haiti_WRF_Box_rlz1year8890storm5,,yes
sample_0054,LaQuinta_Haiti_WRF_Box_rlz1year8978storm5,,yes
sample_0055,LaQuinta_Haiti_WRF_Box_rlz1year9035storm4,,yes
sample_0056,LaQuinta_Haiti_WRF_Box_rlz1year9053storm5,,yes
sample_0057,LaQuinta_Haiti_WRF_Box_rlz1year9089storm4,,yes
sample_0058,LaQuinta_Haiti_WRF_Box_rlz1year9152storm5,,yes
sample_0059,LaQuinta_Haiti_WRF_Box_rlz1year9179storm5,,yes
sample_0060,LaQuinta_Haiti_WRF_Box_rlz1year9188storm5,,yes
sample_0061,LaQuinta_Haiti_WRF_Box_rlz1year9230storm5,,yes
sample_0062,LaQuinta_Haiti_WRF_Box_rlz1year9235storm5,,yes
sample_0063,LaQuinta_Haiti_WRF_Box_rlz1year9240storm5,,yes
sample_0064,LaQuinta_Haiti_WRF_Box_rlz1year9241storm5,,yes
sample_0065,LaQuinta_Haiti_WRF_Box_rlz1year9252storm5,,yes
sample_0066,LaQuinta_Haiti_WRF_Box_rlz1year9286storm5,,yes
sample_0067,LaQuinta_Haiti_WRF_Box_rlz1year9316storm4,,yes
sample_0068,LaQuinta_Haiti_WRF_Box_rlz1year9336storm5,,yes
sample_0069,LaQuinta_Haiti_WRF_Box_rlz1year9346storm5,,yes
sample_0070,LaQuinta_Haiti_WRF_Box_rlz1year9352storm5,,yes
sample_0071,LaQuinta_Haiti_WRF_Box_rlz1year9371storm5,,yes
sample_0072,LaQuinta_Haiti_WRF_Box_rlz1year9388storm4,,yes
sample_0073,LaQuinta_Haiti_WRF_Box_rlz1year9412storm5,,yes
sample_0074,LaQuinta_Haiti_WRF_Box_rlz1year9427storm5,,yes
sample_0075,LaQuinta_Haiti_WRF_Box_rlz1year9436storm5,,yes
sample_0076,LaQuinta_Haiti_WRF_Box_rlz1year9442storm5,,yes
sample_0077,LaQuinta_Haiti_WRF_Box_rlz1year9450storm5,,yes
sample_0078,LaQuinta_Haiti_WRF_Box_rlz1year9466storm5,,yes
sample_0079,LaQuinta_Haiti_WRF_Box_rlz1year9488storm5,,yes
sample_0080,LaQuinta_Haiti_WRF_Box_rlz1year9501storm5,,yes
sample_0081,LaQuinta_Haiti_WRF_Box_rlz1year9503storm5,,yes
sample_0082,LaQuinta_Haiti_WRF_Box_rlz1year9507storm5,,yes
sample_0083,LaQuinta_Haiti_WRF_Box_rlz1year9519storm5,,yes
sample_0084,LaQuinta_Haiti_WRF_Box_rlz1year9524storm4,,yes
sample_0085,LaQuinta_Haiti_WRF_Box_rlz1year9552storm5,,yes
sample_0086,LaQuinta_Haiti_WRF_Box_rlz1year9584storm5,,yes
sample_0087,LaQuinta_Haiti_WRF_Box_rlz1year9593storm5,,yes
sample_0088,LaQuinta_Haiti_WRF_Box_rlz1year9613storm5,,yes
sample_0089,LaQuinta_Haiti_WRF_Box_rlz1year9614storm5,,yes
sample_0090,LaQuinta_Haiti_WRF_Box_rlz1year9627storm5,,yes
sample_0091,LaQuinta_Haiti_WRF_Box_rlz1year9633storm5,,yes
sample_0092,LaQuinta_Haiti_WRF_Box_rlz1year9639storm5,,yes
sample_0093,LaQuinta_Haiti_WRF_Box_rlz1year9674storm5,,no (sample missing from delivery)
sample_0094,LaQuinta_Haiti_WRF_Box_rlz1year9676storm5,,no (sample missing from delivery)
sample_0095,LaQuinta_Haiti_WRF_Box_rlz1year9683storm3,,no (sample missing from delivery)
sample_0096,LaQuinta_Haiti_WRF_Box_rlz1year9686storm5,,no (sample missing from delivery)
sample_0097,LaQuinta_Haiti_WRF_Box_rlz1year9688storm5,,no (sample missing from delivery)
sample_0098,LaQuinta_Haiti_WRF_Box_rlz1year9692storm5,,no (sample missing from delivery)
sample_0099,LaQuinta_Haiti_WRF_Box_rlz1year9700storm5,,no (sample missing from delivery)
sample_0100,LaQuinta_Haiti_WRF_Box_rlz1year9719storm5,,yes
sample_0101,LaQuinta_Haiti_WRF_Box_rlz1year9744storm5,,yes
sample_0102,LaQuinta_Haiti_WRF_Box_rlz1year9749storm4,,yes
sample_0103,LaQuinta_Haiti_WRF_Box_rlz1year9750storm5,,yes
sample_0104,LaQuinta_Haiti_WRF_Box_rlz1year9759storm5,,yes
sample_0105,LaQuinta_Haiti_WRF_Box_rlz1year9770storm5,,yes
sample_0106,LaQuinta_Haiti_WRF_Box_rlz1year9783storm5,,yes
sample_0107,LaQuinta_Haiti_WRF_Box_rlz1year9792storm5,,yes
sample_0108,LaQuinta_Haiti_WRF_Box_rlz1year9807storm5,,yes
sample_0109,LaQuinta_Haiti_WRF_Box_rlz1year9815storm5,,yes
sample_0110,LaQuinta_Haiti_WRF_Box_rlz1year9824storm4,,yes
sample_0111,LaQuinta_Haiti_WRF_Box_rlz1year9825storm5,,yes
sample_0112,LaQuinta_Haiti_WRF_Box_rlz1year9829storm5,,yes
sample_0113,LaQuinta_Haiti_WRF_Box_rlz1year9830storm5,,yes
sample_0114,LaQuinta_Haiti_WRF_Box_rlz1year9831storm5,,yes
sample_0115,LaQuinta_Haiti_WRF_Box_rlz1year9844storm5,,yes
sample_0116,LaQuinta_Haiti_WRF_Box_rlz1year9845storm5,,yes
sample_0117,LaQuinta_Haiti_WRF_Box_rlz1year9847storm5,,yes
sample_0118,LaQuinta_Haiti_WRF_Box_rlz1year9850storm5,,yes
sample_0119,LaQuinta_Haiti_WRF_Box_rlz1year9851storm4,,yes
sample_0120,LaQuinta_Haiti_WRF_Box_rlz1year9853storm5,,yes
sample_0121,LaQuinta_Haiti_WRF_Box_rlz1year9854storm5,,yes
sample_0122,LaQuinta_Haiti_WRF_Box_rlz1year9856storm5,,yes
sample_0123,LaQuinta_Haiti_WRF_Box_rlz1year9858storm5,,yes
sample_0124,LaQuinta_Haiti_WRF_Box_rlz1year9864storm5,,yes
sample_0125,LaQuinta_Haiti_WRF_Box_rlz1year9867storm5,,yes
sample_0126,LaQuinta_Haiti_WRF_Box_rlz1year9870storm5,,yes
sample_0127,LaQuinta_Haiti_WRF_Box_rlz1year9872storm5,,yes
sample_0128,LaQuinta_Haiti_WRF_Box_rlz1year9873storm5,,yes
sample_0129,LaQuinta_Haiti_WRF_Box_rlz1year9874storm4,,yes
sample_0130,LaQuinta_Haiti_WRF_Box_rlz1year9884storm5,,yes
sample_0131,LaQuinta_Haiti_WRF_Box_rlz1year9885storm5,,yes
sample_0132,LaQuinta_Haiti_WRF_Box_rlz1year9886storm5,,yes
sample_0133,LaQuinta_Haiti_WRF_Box_rlz1year9894storm5,,yes
sample_0134,LaQuinta_Haiti_WRF_Box_rlz1year9903storm5,,yes
sample_0135,LaQuinta_Haiti_WRF_Box_rlz1year9904storm5,,yes
sample_0136,LaQuinta_Haiti_WRF_Box_rlz1year9905storm5,,yes
sample_0137,LaQuinta_Haiti_WRF_Box_rlz1year9907storm5,,yes
sample_0138,LaQuinta_Haiti_WRF_Box_rlz1year9910storm5,,yes
sample_0139,LaQuinta_Haiti_WRF_Box_rlz1year9911storm5,,yes
