storm_id,scenario_name,magnitude_mm,map_status,Qmax_cuenca_griss_m3s
sample_0001,Griss_Haiti_WRF_Box_rlz1year10000storm5,752.73,real,5736.58
sample_0002,Griss_Haiti_WRF_Box_rlz1year2612storm5,0.38,real,0.0
sample_0003,Griss_Haiti_WRF_Box_rlz1year2857storm5,0.15,real,0.0
sample_0004,Griss_Haiti_WRF_Box_rlz1year3176storm5,0.99,real,4.72
sample_0005,Griss_Haiti_WRF_Box_rlz1year4002storm3,4.09,real,6.67
sample_0006,Griss_Haiti_WRF_Box_rlz1year4115storm5,13.21,real,1.99
sample_0007,Griss_Haiti_WRF_Box_rlz1year4131storm4,2.87,real,0.0
sample_0008,Griss_Haiti_WRF_Box_rlz1year4515storm5,29.46,real,26.43
sample_0009,Griss_Haiti_WRF_Box_rlz1year4670storm4,0.15,real,0.02
sample_0010,Griss_Haiti_WRF_Box_rlz1year4916storm4,0.02,real,0.0
sample_0011,Griss_Haiti_WRF_Box_rlz1year5115storm4,0.34,real,0.0
sample_0012,Griss_Haiti_WRF_Box_rlz1year5544storm5,2.11,real,8.61
sample_0013,Griss_Haiti_WRF_Box_rlz1year6105storm5,34.08,real,205.24
sample_0014,Griss_Haiti_WRF_Box_rlz1year6148storm5,67.11,real,134.65
sample_0015,Griss_Haiti_WRF_Box_rlz1year6178storm5,105.56,real,63.22
sample_0016,Griss_Haiti_WRF_Box_rlz1year6343storm5,114.87,real,53.9
sample_0017,Griss_Haiti_WRF_Box_rlz1year6380storm5,72.07,real,826.89
sample_0018,Griss_Haiti_WRF_Box_rlz1year6412storm5,222.99,real,379.94
sample_0019,Griss_Haiti_WRF_Box_rlz1year6427storm5,147.92,real,208.48
sample_0020,Griss_Haiti_WRF_Box_rlz1year6445storm5,62.28,real,155.02
sample_0021,Griss_Haiti_WRF_Box_rlz1year6496storm5,14.3,real,128.66
sample_0022,Griss_Haiti_WRF_Box_rlz1year6524storm5,79.23,real,582.62
sample_0023,Griss_Haiti_WRF_Box_rlz1year6719storm5,104.29,real,144.16
sample_0024,Griss_Haiti_WRF_Box_rlz1year6853storm4,69.37,real,33.02
sample_0025,Griss_Haiti_WRF_Box_rlz1year6876storm3,35.69,real,164.74
sample_0026,Griss_Haiti_WRF_Box_rlz1year6900storm5,95.39,real,121.86
sample_0027,Griss_Haiti_WRF_Box_rlz1year6956storm2,0.08,real,0.0
sample_0028,Griss_Haiti_WRF_Box_rlz1year6969storm4,0.21,real,0.0
sample_0029,Griss_Haiti_WRF_Box_rlz1year7341storm5,93.63,real,409.26
