storm_id,scenario_name,magnitude_mm,map_status,Qmax_cuenca_laquinta_1_m3s,Qmax_cuenca_laquinta_2_m3s
sample_0001,LaQuinta_Haiti_WRF_Box_rlz1year10000storm5,1070.08,real,356.54,8184.46
sample_0002,LaQuinta_Haiti_WRF_Box_rlz1year2614storm4,0.0,real,0.0,0.0
sample_0003,LaQuinta_Haiti_WRF_Box_rlz1year2868storm5,0.78,real,0.0,0.0
sample_0004,LaQuinta_Haiti_WRF_Box_rlz1year3196storm3,0.07,real,0.0,0.0
sample_0005,LaQuinta_Haiti_WRF_Box_rlz1year4051storm5,11.95,real,0.4,10.49
sample_0006,LaQuinta_Haiti_WRF_Box_rlz1year4110storm3,0.16,real,0.0,0.0
sample_0007,LaQuinta_Haiti_WRF_Box_rlz1year4121storm4,0.0,real,0.0,0.0
sample_0008,LaQuinta_Haiti_WRF_Box_rlz1year4500storm4,1.43,real,0.0,1.44
sample_0009,LaQuinta_Haiti_WRF_Box_rlz1year4724storm5,10.22,real,0.53,50.52
sample_0010,LaQuinta_Haiti_WRF_Box_rlz1year4966storm5,16.08,real,7.7,71.17
sample_0011,LaQuinta_Haiti_WRF_Box_rlz1year5104storm5,0.54,real,0.0,29.41
sample_0012,LaQuinta_Haiti_WRF_Box_rlz1year5545storm5,34.33,real,11.59,35.78
sample_0013,LaQuinta_Haiti_WRF_Box_rlz1year6184storm5,11.05,real,0.71,69.46
sample_0014,LaQuinta_Haiti_WRF_Box_rlz1year6226storm5,0.49,real,0.0,82.62
sample_0015,LaQuinta_Haiti_WRF_Box_rlz1year6273storm5,54.72,real,12.45,459.98
sample_0016,LaQuinta_Haiti_WRF_Box_rlz1year6430storm3,0.36,real,0.0,0.0
sample_0017,LaQuinta_Haiti_WRF_Box_rlz1year6467storm5,59.85,real,1.01,203.6
sample_0018,LaQuinta_Haiti_WRF_Box_rlz1year6491storm3,2.13,real,0.73,3.96
sample_0019,LaQuinta_Haiti_WRF_Box_rlz1year6564storm4,0.16,real,0.01,0.0
sample_0020,LaQuinta_Haiti_WRF_Box_rlz1year6829storm5,104.37,real,71.74,541.39
sample_0021,LaQuinta_Haiti_WRF_Box_rlz1year6957storm3,15.25,real,0.87,3.08
sample_0022,LaQuinta_Haiti_WRF_Box_rlz1year6983storm5,59.21,real,36.16,135.4
sample_0023,LaQuinta_Haiti_WRF_Box_rlz1year7007storm4,8.59,real,5.75,59.06
sample_0024,LaQuinta_Haiti_WRF_Box_rlz1year7058storm5,74.34,real,23.98,452.34
sample_0025,LaQuinta_Haiti_WRF_Box_rlz1year7078storm4,9.11,real,3.56,107.89
sample_0026,LaQuinta_Haiti_WRF_Box_rlz1year7098storm5,187.33,real,39.3,1098.06
sample_0027,LaQuinta_Haiti_WRF_Box_rlz1year7441storm5,109.33,real,16.28,294.13
sample_0028,LaQuinta_Haiti_WRF_Box_rlz1year7533storm5,137.86,real,53.54,703.5
sample_0029,LaQuinta_Haiti_WRF_Box_rlz1year7710storm5,94.27,real,31.26,655.75
sample_0030,LaQuinta_Haiti_WRF_Box_rlz1year7864storm5,185.36,real,63.12,562.49
sample_0031,LaQuinta_Haiti_WRF_Box_rlz1year7989storm5,103.93,real,51.59,1025.57
sample_0032,LaQuinta_Haiti_WRF_Box_rlz1year8103storm5,160.66,real,43.24,576.84
sample_0033,LaQuinta_Haiti_WRF_Box_rlz1year8112storm5,121.48,real,42.39,1054.94
sample_0034,LaQuinta_Haiti_WRF_Box_rlz1year8149storm5,92.02,real,20.39,875.84
sample_0035,LaQuinta_Haiti_WRF_Box_rlz1year8151storm3,0.79,real,0.03,38.04
sample_0036,LaQuinta_Haiti_WRF_Box_rlz1year8159storm5,113.81,real,10.92,503.48
sample_0037,LaQuinta_Haiti_WRF_Box_rlz1year8366storm4,89.53,real,22.47,2020.93
sample_0038,LaQuinta_Haiti_WRF_Box_rlz1year8370storm5,84.14,real,7.24,223.19
sample_0039,LaQuinta_Haiti_WRF_Box_rlz1year8399storm5,160.41,real,20.72,435.61
sample_0040,LaQuinta_Haiti_WRF_Box_rlz1year8429storm5,139.38,real,30.79,933.79
sample_0041,LaQuinta_Haiti_WRF_Box_rlz1year8443storm4,1.24,real,0.0,7.38
sample_0042,LaQuinta_Haiti_WRF_Box_rlz1year8491storm5,90.75,real,19.37,759.45
sample_0043,LaQuinta_Haiti_WRF_Box_rlz1year8529storm4,173.56,real,65.88,1368.71
sample_0044,LaQuinta_Haiti_WRF_Box_rlz1year8572storm5,290.04,real,141.34,2777.41
sample_0045,LaQuinta_Haiti_WRF_Box_rlz1year8584storm5,124.48,real,31.47,341.46
sample_0046,LaQuinta_Haiti_WRF_Box_rlz1year8696storm5,132.09,real,30.17,3535.41
sample_0047,LaQuinta_Haiti_WRF_Box_rlz1year8725storm5,38.28,real,3.65,331.0
sample_0048,LaQuinta_Haiti_WRF_Box_rlz1year8729storm5,90.28,real,22.3,1207.43
sample_0049,LaQuinta_Haiti_WRF_Box_rlz1year8780storm5,234.03,real,21.79,875.31
sample_0050,LaQuinta_Haiti_WRF_Box_rlz1year8814storm5,188.99,real,49.87,1741.64
sample_0051,LaQuinta_Haiti_WRF_Box_rlz1year8826storm5,163.74,real,71.03,2786.35
sample_0052,LaQuinta_Haiti_WRF_Box_rlz1year8852storm5,186.95,real,18.06,1064.5
sample_0053,LaQuinta_Haiti_WRF_Box_rlz1year8890storm5,205.35,real,67.05,3350.14
sample_0054,LaQuinta_Haiti_WRF_Box_rlz1year8978storm5,160.89,real,39.16,634.87
sample_0055,LaQuinta_Haiti_WRF_Box_rlz1year9035storm4,121.87,real,16.08,1288.31
sample_0056,LaQuinta_Haiti_WRF_Box_rlz1year9053storm5,216.12,real,56.95,707.53
sample_0057,LaQuinta_Haiti_WRF_Box_rlz1year9089storm4,22.46,real,8.29,320.24
sample_0058,LaQuinta_Haiti_WRF_Box_rlz1year9152storm5,280.98,real,112.92,2097.65
sample_0059,LaQuinta_Haiti_WRF_Box_rlz1year9179storm5,289.0,real,113.06,2328.13
sample_0060,LaQuinta_Haiti_WRF_Box_rlz1year9188storm5,180.36,real,67.92,1832.06
sample_0061,LaQuinta_Haiti_WRF_Box_rlz1year9230storm5,239.58,real,76.68,2043.59
sample_0062,LaQuinta_Haiti_WRF_Box_rlz1year9235storm5,212.16,real,88.9,4102.6
sample_0063,LaQuinta_Haiti_WRF_Box_rlz1year9240storm5,269.99,real,90.12,1756.19
sample_0064,LaQuinta_Haiti_WRF_Box_rlz1year9241storm5,312.28,real,74.94,1895.05
sample_0065,LaQuinta_Haiti_WRF_Box_rlz1year9252storm5,198.7,real,109.71,2240.68
sample_0066,LaQuinta_Haiti_WRF_Box_rlz1year9286storm5,237.47,real,108.63,2958.4
sample_0067,LaQuinta_Haiti_WRF_Box_rlz1year9316storm4,20.55,real,2.2,205.59
sample_0068,LaQuinta_Haiti_WRF_Box_rlz1year9336storm5,219.15,real,62.48,1696.13
sample_0069,LaQuinta_Haiti_WRF_Box_rlz1year9346storm5,260.18,real,128.07,2998.81
sample_0070,LaQuinta_Haiti_WRF_Box_rlz1year9352storm5,289.7,real,121.12,3068.6
sample_0071,LaQuinta_Haiti_WRF_Box_rlz1year9371storm5,291.96,real,150.2,1951.09
sample_0072,LaQuinta_Haiti_WRF_Box_rlz1year9388storm4,167.41,real,15.81,684.92
sample_0073,LaQuinta_Haiti_WRF_Box_rlz1year9412storm5,152.73,real,30.94,1469.22
sample_0074,LaQuinta_Haiti_WRF_Box_rlz1year9427storm5,307.65,real,31.2,3843.65
sample_0075,LaQuinta_Haiti_WRF_Box_rlz1year9436storm5,323.06,real,82.43,1299.56
sample_0076,LaQuinta_Haiti_WRF_Box_rlz1year9442storm5,238.77,real,102.01,5251.7
sample_0077,LaQuinta_Haiti_WRF_Box_rlz1year9450storm5,390.43,real,53.22,2125.38
sample_0078,LaQuinta_Haiti_WRF_Box_rlz1year9466storm5,192.35,real,49.43,1331.52
sample_0079,LaQuinta_Haiti_WRF_Box_rlz1year9488storm5,256.62,real,112.2,2885.18
sample_0080,LaQuinta_Haiti_WRF_Box_rlz1year9501storm5,360.5,real,55.81,2066.15
sample_0081,LaQuinta_Haiti_WRF_Box_rlz1year9503storm5,92.97,real,28.5,2658.59
sample_0082,LaQuinta_Haiti_WRF_Box_rlz1year9507storm5,251.85,real,92.09,3287.11
sample_0083,LaQuinta_Haiti_WRF_Box_rlz1year9519storm5,283.92,real,137.64,3224.71
sample_0084,LaQuinta_Haiti_WRF_Box_rlz1year9524storm4,283.29,real,95.59,1690.11
sample_0085,LaQuinta_Haiti_WRF_Box_rlz1year9552storm5,290.85,real,66.51,1368.67
sample_0086,LaQuinta_Haiti_WRF_Box_rlz1year9584storm5,300.77,real,96.64,3137.44
sample_0087,LaQuinta_Haiti_WRF_Box_rlz1year9593storm5,229.67,real,83.08,2809.87
sample_0088,LaQuinta_Haiti_WRF_Box_rlz1year9613storm5,206.58,real,51.77,2273.38
sample_0089,LaQuinta_Haiti_WRF_Box_rlz1year9614storm5,349.06,real,69.27,3929.53
sample_0090,LaQuinta_Haiti_WRF_Box_rlz1year9627storm5,346.36,real,119.31,2388.98
sample_0091,LaQuinta_Haiti_WRF_Box_rlz1year9633storm5,321.71,real,62.43,1122.99
sample_0092,LaQuinta_Haiti_WRF_Box_rlz1year9639storm5,160.62,real,43.91,2021.93
sample_0093,LaQuinta_Haiti_WRF_Box_rlz1year9674storm5,321.66,real,60.8,3348.35
sample_0094,LaQuinta_Haiti_WRF_Box_rlz1year9676storm5,394.04,real,126.32,3458.81
sample_0095,LaQuinta_Haiti_WRF_Box_rlz1year9683storm3,23.41,real,4.54,153.4
sample_0096,LaQuinta_Haiti_WRF_Box_rlz1year9686storm5,311.51,real,68.2,2042.16
sample_0097,LaQuinta_Haiti_WRF_Box_rlz1year9688storm5,307.97,real,129.42,2831.99
sample_0098,LaQuinta_Haiti_WRF_Box_rlz1year9692storm5,214.79,real,116.13,7408.54
sample_0099,LaQuinta_Haiti_WRF_Box_rlz1year9700storm5,344.16,real,110.53,3569.9
sample_0100,LaQuinta_Haiti_WRF_Box_rlz1year9719storm5,266.38,real,53.32,2992.66
sample_0101,LaQuinta_Haiti_WRF_Box_rlz1year9744storm5,289.45,real,102.43,2709.59
sample_0102,LaQuinta_Haiti_WRF_Box_rlz1year9749storm4,156.66,real,49.92,1276.96
sample_0103,LaQuinta_Haiti_WRF_Box_rlz1year9750storm5,349.63,real,101.35,4195.2
sample_0104,LaQuinta_Haiti_WRF_Box_rlz1year9759storm5,265.67,real,49.91,2083.59
sample_0105,LaQuinta_Haiti_WRF_Box_rlz1year9770storm5,411.29,real,151.91,3755.58
sample_0106,LaQuinta_Haiti_WRF_Box_rlz1year9783storm5,321.95,real,97.19,1565.03
sample_0107,LaQuinta_Haiti_WRF_Box_rlz1year9792storm5,270.48,real,36.59,1909.27
sample_0108,LaQuinta_Haiti_WRF_Box_rlz1year9807storm5,326.23,real,48.06,1059.74
sample_0109,LaQuinta_Haiti_WRF_Box_rlz1year9815storm5,360.06,real,158.99,3553.19
sample_0110,LaQuinta_Haiti_WRF_Box_rlz1year9824storm4,400.45,real,90.67,2582.57
sample_0111,LaQuinta_Haiti_WRF_Box_rlz1year9825storm5,144.87,real,25.86,3089.24
sample_0112,LaQuinta_Haiti_WRF_Box_rlz1year9829storm5,348.71,real,118.17,6080.56
sample_0113,LaQuinta_Haiti_WRF_Box_rlz1year9830storm5,582.84,real,180.94,2805.6
sample_0114,LaQuinta_Haiti_WRF_Box_rlz1year9831storm5,322.25,real,100.22,2085.59
sample_0115,LaQuinta_Haiti_WRF_Box_rlz1year9844storm5,460.12,real,136.86,2244.41
sample_0116,LaQuinta_Haiti_WRF_Box_rlz1year9845storm5,450.65,real,128.7,4340.88
sample_0117,LaQuinta_Haiti_WRF_Box_rlz1year9847storm5,426.44,real,171.14,5322.99
sample_0118,LaQuinta_Haiti_WRF_Box_rlz1year9850storm5,339.56,real,269.33,2986.01
sample_0119,LaQuinta_Haiti_WRF_Box_rlz1year9851storm4,285.68,real,51.72,3872.96
sample_0120,LaQuinta_Haiti_WRF_Box_rlz1year9853storm5,290.71,real,26.68,2401.6
sample_0121,LaQuinta_Haiti_WRF_Box_rlz1year9854storm5,521.9,real,162.03,2411.52
sample_0122,LaQuinta_Haiti_WRF_Box_rlz1year9856storm5,453.15,real,198.43,2988.66
